district,year,month,season,crime_count
12,2019,8,3,63
14,2019,8,3,38
15,2019,8,3,45
16,2019,8,3,37
17,2019,8,3,36
18,2019,8,3,73
19,2019,8,3,58
20,2019,8,3,27
22,2019,8,3,31
24,2019,8,3,40
25,2019,8,3,52
1,2019,9,4,59
2,2019,9,4,53
3,2019,9,4,69
4,2019,9,4,63
5,2019,9,4,48
6,2019,9,4,68
7,2019,9,4,48
8,2019,9,4,68
9,2019,9,4,54
10,2019,9,4,53
11,2019,9,4,69
12,2019,9,4,78
14,2019,9,4,45
15,2019,9,4,46
16,2019,9,4,40
17,2019,9,4,30
18,2019,9,4,61
19,2019,9,4,39
20,2019,9,4,11
22,2019,9,4,26
24,2019,9,4,41
25,2019,9,4,52
1,2019,10,4,62
2,2019,10,4,50
3,2019,10,4,59
4,2019,10,4,61
5,2019,10,4,34
6,2019,10,4,88
7,2019,10,4,53
8,2019,10,4,64
9,2019,10,4,56
10,2019,10,4,58
